Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,195,-1,8,8,11,9,12,13,-1,3,1,-3,-3,-3,-3,-5,4,6,,,,,
,-2,-14,4,-1,2,2,-14,,7,-5,5,-3,,12,-6,-6,12,1,,,,,
,361,13,-11,-2,2,,-7,-14,-5,-19,4,-3,3,,-7,1,3,-4,,,,,
,1573,-11,7,2,-10,-5,7,4,-8,2,-2,-1,-10,-3,8,3,-9,,,,,,
,-1953,,-1,-10,,-5,5,-2,6,12,-7,6,-4,-7,14,5,1,7,,,,,
,-100,10,-9,-4,-10,-14,-9,9,12,-4,-1,13,2,-3,-7,-9,-6,-8,,,,,
,-69,3,-2,3,7,5,14,7,-11,-5,5,5,-1,5,-7,-19,7,5,,,,,
,456,-13,5,1,6,14,-4,-4,-3,-8,10,-2,3,-9,9,30,2,9,,,,,
,-1288,-23,-2,-6,-2,-2,7,-12,2,2,-13,-6,-3,-3,-6,6,-3,-2,,,,,
,-7,2,3,14,,9,-3,1,-4,3,-9,-1,-3,8,1,-11,4,-9,,,,,
,562,21,6,-14,-3,-4,-3,4,-1,4,5,-6,4,4,-2,5,1,3,,,,,
,1065,,-8,10,-4,-10,-9,-4,-2,-2,,19,9,7,-7,2,5,8,,,,,
,922,-33,5,7,7,-4,9,19,12,5,1,-5,-8,5,-10,-11,-13,-13,,,,,
,-1591,,-1,7,,5,11,-2,4,2,3,-5,-14,,11,-3,7,2,,,,,
,40,2,-5,-10,-8,-1,-12,-15,-6,-2,-5,-11,6,-16,-1,24,-11,1,,,,,
,-21,11,-6,1,-9,6,-8,3,-6,-2,6,-6,10,11,11,-6,,5,,,,,
,26,-10,1,,9,-1,7,2,-7,8,-6,9,3,,3,-8,8,-6,,,,,
,-35,10,7,4,14,,-8,-10,8,,-4,-9,-5,-16,-5,-5,-6,3,,,,,
,590,-4,7,2,6,,3,9,5,-2,10,4,-10,6,7,9,-6,-6,,,,,
,-737,-6,5,-9,-22,,13,-6,-5,-1,2,10,7,5,-1,6,23,10,,,,,
,-355,6,-12,-5,-1,-3,-5,-6,12,-2,-9,5,5,-9,-6,-8,-2,-1,,,,,
