Packet No,App TimeStamp,Sensor TimeStamp,Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),ref (uV),AccX(mg),AccY(mg),AccZ(mg),Event A,Event B
,-675,-9,-480,-1341,-1458,-59907,,,,,,,,,,,,2,,,,,
,-504,,-1832,-5253,-8283,-145811,,,,,,,,,,,,-1,,,,,
,79,-6,-419,-1364,-2645,-55389,,,,,,,,,,,,-13,,,,,
,-314,,34,34,-396,16474,,,,,,,,,,,,-3,,,,,
,-18,-19,475,1301,2172,13874,,,,,,,,,,,,-6,,,,,
,418,1,1767,5120,8991,64607,,,,,,,,,,,,14,,,,,
,-389,23,413,1392,2335,73714,,,,,,,,,,,,7,,,,,
,522,,-6,38,-371,100483,,,,,,,,,,,,-1,,,,,
,-175,-28,-424,-1220,-2430,77330,,,,,,,,,,,,-1,,,,,
,65,-1,-1763,-5198,-8433,-117280,,,,,,,,,,,,-2,,,,,
,719,,-473,-1452,-1660,-202627,,,,,,,,,,,,-1,,,,,
,-867,,-40,-21,204,-118708,,,,,,,,,,,,-8,,,,,
,265,,458,1222,1664,40546,,,,,,,,,,,,,,,,,
,-116,-10,1833,5288,8121,199068,,,,,,,,,,,,11,,,,,
,1182,7,473,1471,2172,154557,,,,,,,,,,,,,,,,,
,1300,-6,-19,-295,160,-20272,,,,,,,,,,,,-3,,,,,
,-199,-31,-495,-717,-737,-63522,,,,,,,,,,,,5,,,,,
,-1783,31,-1797,-5694,-9745,-84496,,,,,,,,,,,,-14,,,,,
,-507,-30,-420,-1275,-2523,-75886,,,,,,,,,,,,8,,,,,
,2128,-6,36,101,114,-15081,,,,,,,,,,,,4,,,,,
,-776,-12,429,1125,2607,-55210,,,,,,,,,,,,-7,,,,,
,-1310,14,1761,5216,8742,53510,,,,,,,,,,,,13,,,,,
,15,3,432,1411,1744,150041,,,,,,,,,,,,,,,,,
,-177,,30,52,-401,55310,,,,,,,,,,,,-18,,,,,
,-497,-7,-423,-1180,-2023,-29488,,,,,,,,,,,,7,,,,,
,379,2,-1799,-5290,-7871,-106786,,,,,,,,,,,,16,,,,,
,145,-13,-488,-1439,-1998,-59764,,,,,,,,,,,,-11,,,,,
,4069,-19,-18,-13,-408,17514,,,,,,,,,,,,,,,,,
,-3898,2,479,1275,1692,35199,,,,,,,,,,,,-8,,,,,
,120,17,1846,5298,8420,77568,,,,,,,,,,,,-3,,,,,
,269,-18,424,1345,2767,7490,,,,,,,,,,,,17,,,,,
,5226,2,-30,-39,251,-21937,,,,,,,,,,,,-3,,,,,
,-3846,-2,-477,-1252,-2435,21320,,,,,,,,,,,,-14,,,,,
,-2048,-2,-1758,-5194,-8841,-45911,,,,,,,,,,,,4,,,,,
,1402,2,-432,-1330,-2295,-39074,,,,,,,,,,,,4,,,,,
,-1188,-10,-2,-58,560,-32848,,,,,,,,,,,,-3,,,,,
,663,-23,433,1183,2370,-9617,,,,,,,,,,,,1,,,,,
,-444,19,1780,5248,8074,89264,,,,,,,,,,,,5,,,,,
,2147,-12,462,1457,1780,45526,,,,,,,,,,,,-4,,,,,
,-2110,4,30,80,-49,-16258,,,,,,,,,,,,-1,,,,,
,860,-11,-470,-1340,-1500,-26445,,,,,,,,,,,,8,,,,,
,-828,3,-1825,-5482,-8526,-26717,,,,,,,,,,,,9,,,,,
,-465,3,-446,-733,-1379,2876,,,,,,,,,,,,-10,,,,,
,-178,-31,22,-613,-1659,1076,,,,,,,,,,,,-5,,,,,
,-117,-4,476,1468,2347,3986,,,,,,,,,,,,2,,,,,
,-227,4,1791,5194,9045,10022,,,,,,,,,,,,-12,,,,,
,219,-3,410,1351,2483,1455,,,,,,,,,,,,2,,,,,
,22,-1,-18,39,-313,5069,,,,,,,,,,,,3,,,,,
,344,1,-428,-1225,-2475,61,,,,,,,,,,,,-4,,,,,
,299,-2,-1752,-5144,-8495,-15349,,,,,,,,,,,,1,,,,,
,-438,4,-448,-1475,-1762,-9969,,,,,,,,,,,,-1,,,,,
,454,-4,-35,-71,334,-3162,,,,,,,,,,,,3,,,,,
,1855,,433,1251,1746,8314,,,,,,,,,,,,8,,,,,
,-1853,,1815,5275,8047,19129,,,,,,,,,,,,-1,,,,,
,4317,,487,1484,2098,4608,,,,,,,,,,,,2,,,,,
,-3829,,-15,-57,489,-5346,,,,,,,,,,,,-9,,,,,
,-743,-23,-510,-1325,-1705,-6848,,,,,,,,,,,,7,,,,,
,1812,-1,-1810,-5212,-8726,-10634,,,,,,,,,,,,2,,,,,
,-2231,6,-401,-1356,-2663,-749,,,,,,,,,,,,-10,,,,,
,153,1,42,67,-160,250,,,,,,,,,,,,4,,,,,
,-246,-8,444,1181,2580,-1636,,,,,,,,,,,,,,,,,
,194,8,1750,5144,8809,11661,,,,,,,,,,,,-6,,,,,
,-241,-8,420,1444,1926,9093,,,,,,,,,,,,1,,,,,
,-123,-33,35,30,-438,3905,,,,,,,,,,,,-3,,,,,
,145,33,-428,-1180,-2187,-2960,,,,,,,,,,,,2,,,,,
,161,-35,-1787,-5285,-7946,-20495,,,,,,,,,,,,14,,,,,
,340,-15,-466,-1485,-1926,-8513,,,,,,,,,,,,5,,,,,
,-218,16,-25,-26,-413,4133,,,,,,,,,,,,-14,,,,,
,-361,-1,461,1630,2418,9162,,,,,,,,,,,,1,,,,,
,1942,-10,1835,4859,7411,14078,,,,,,,,,,,,-12,,,,,
,-1635,-3,444,1513,2947,135,,,,,,,,,,,,7,,,,,
,244,-18,-27,-77,413,-4095,,,,,,,,,,,,9,,,,,
,505,5,-468,-1224,-2315,900,,,,,,,,,,,,3,,,,,
,-463,1,-1778,-5226,-8859,-11293,,,,,,,,,,,,-7,,,,,
,-296,11,-411,-1308,-2420,-3852,,,,,,,,,,,,-5,,,,,
