Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-940,-25,6,,-1,4,7,,-10,6,-6,,,,1,,,15,,,,,
,575,-17,7,,-4,7,-2,,-5,3,15,,7,3,-13,,,4,,,,,
,-164,25,-16,,-11,-15,-11,,-1,-16,-10,,-7,-2,4,,,,,,,,
,-359,,3,,10,-11,-4,,-14,-1,-11,,8,-12,-5,,,-10,,,,,
,1191,,-5,,-9,,5,,2,2,4,,-1,9,-1,,,-6,,,,,
,-1278,-23,29,,7,18,2,,13,11,9,,-4,-16,2,,,3,,,,,
,571,24,-7,,15,-2,7,,1,-1,-13,,,1,-1,,,7,,,,,
,551,-27,-7,,-12,-15,-9,,-9,-7,6,,-6,3,-4,,,-12,,,,,
,-145,19,4,,4,-5,2,,1,8,10,,9,5,-3,,,4,,,,,
,-231,-37,-6,,-2,5,-6,,3,,8,,-3,-4,12,,,1,,,,,
,-367,10,4,,4,15,11,,6,12,-5,,5,4,6,,,8,,,,,
,1138,-10,-3,,-6,-9,-3,,-6,-15,-7,,-4,1,-7,,,-9,,,,,
,-228,20,-4,,4,2,-4,,-1,-2,15,,18,4,1,,,-3,,,,,
,2254,16,-6,,-9,8,-3,,-9,3,,,-13,1,7,,,8,,,,,
,-869,-37,,,1,13,8,,7,2,4,,11,5,9,,,-3,,,,,
,-2789,12,13,,5,3,-5,,,-4,-7,,-9,,-15,,,-1,,,,,
,142,-12,-19,,5,-11,-6,,-2,-16,-12,,-4,-7,-5,,,-5,,,,,
,433,1,-15,,-17,-21,,,-1,-12,-5,,-12,-10,-12,,,8,,,,,
,4736,1,17,,5,5,21,,2,34,2,,7,6,16,,,,,,,,
,-3309,-3,-3,,5,-3,-11,,-14,-11,,,6,7,6,,,-1,,,,,
,-1460,7,15,,-1,17,5,,13,10,8,,,-2,2,,,10,,,,,
,-357,-16,,,9,-19,13,,2,-2,,,-2,7,-3,,,-9,,,,,
,263,11,12,,7,10,3,,13,6,10,,6,-1,9,,,-8,,,,,
,4400,-14,-10,,-7,1,-21,,-1,,-13,,-4,-5,1,,,5,,,,,
