Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-743,-19,,,,,,,,,,-1531,,,,-1107,,22,7,5,11,,
,-501,24,,,,,,,,,,-1386,,,,-923,,-20,-16,,7,,
,935,-33,,,,,,,,,,-82,,,,-133,,-8,1,-7,-4,,
,-498,29,,,,,,,,,,1542,,,,843,,-32,9,-1,2,,
,278,-30,,,,,,,,,,1228,,,,638,,5,12,-6,-9,,
,203,2,,,,,,,,,,-1228,,,,-800,,-10,-15,2,-14,,
,161,-2,,,,,,,,,,-1283,,,,-827,,-10,-2,11,16,,
,-130,2,,,,,,,,,,-102,,,,-161,,-1,-2,-10,-9,,
,-547,,,,,,,,,,,1700,,,,998,,-21,4,-9,-11,,
,218,-30,,,,,,,,,,1138,,,,558,,17,-6,22,19,,
,-469,-7,,,,,,,,,,-1536,,,,-1098,,34,7,-11,-1,,
,2556,-9,,,,,,,,,,-1354,,,,-898,,-29,-5,-6,8,,
,-2292,9,,,,,,,,,,26,,,,-39,,-13,2,10,-4,,
,371,-11,,,,,,,,,,1489,,,,766,,-28,20,10,-9,,
,-370,-20,,,,,,,,,,1177,,,,614,,23,-13,-16,10,,
,-19,2,,,,,,,,,,-1610,,,,-1163,,19,15,,16,,
,950,-2,,,,,,,,,,-1352,,,,-904,,3,-10,12,-9,,
,-1283,6,,,,,,,,,,-38,,,,-110,,-23,-5,-14,-20,,
,-111,-3,,,,,,,,,,1710,,,,986,,-13,6,20,10,,
,-98,-33,,,,,,,,,,1097,,,,550,,34,-33,-15,-7,,
,88,22,,,,,,,,,,-1366,,,,-913,,22,33,10,6,,
,308,-34,,,,,,,,,,-1185,,,,-749,,5,-8,-6,-2,,
,-287,16,,,,,,,,,,56,,,,-20,,-14,1,-12,5,,
,111,1,,,,,,,,,,1486,,,,757,,-29,-11,-4,4,,
,-266,-15,,,,,,,,,,1149,,,,611,,11,2,14,-4,,
,1214,-10,,,,,,,,,,-1499,,,,-1038,,35,9,-1,3,,
,-553,-10,,,,,,,,,,-1260,,,,-822,,-25,-19,-10,-11,,
,-584,-2,,,,,,,,,,60,,,,-28,,-11,8,-11,2,,
,351,-5,,,,,,,,,,1494,,,,758,,-9,35,32,-6,,
,15,8,,,,,,,,,,1005,,,,476,,48,-28,-26,11,,
,2240,-24,,,,,,,,,,-1537,,,,-1064,,26,-3,24,4,,
,-1934,6,,,,,,,,,,-1423,,,,-997,,-16,13,-15,-10,,
,375,-6,,,,,,,,,,353,,,,260,,-38,,8,10,,
,-364,,,,,,,,,,,1720,,,,977,,-40,5,1,-7,,
,-251,,,,,,,,,,,977,,,,467,,4,-23,7,1,,
,239,,,,,,,,,,,-1570,,,,-1092,,24,-9,-15,2,,
,331,-27,,,,,,,,,,-1162,,,,-741,,1,29,20,-22,,
,114144,8,,,,,,,,,,64,,,,-44,,-14,1,-19,28,,
,-3501,1,,,,,,,,,,1718,,,,967,,5,2,-6,-2,,
,-3448,-1,,,,,,,,,,905,,,,409,,47,,-6,7,,
,-3718,-31,,,,,,,,,,-1514,,,,-1026,,18,-33,14,-4,,
,-3594,,,,,,,,,,,-1051,,,,-633,,-28,22,5,-22,,
,-3790,,,,,,,,,,,198,,,,83,,10,-13,-9,22,,
,-2721,1,,,,,,,,,,1786,,,,1028,,-36,-1,-9,-8,,
,-3825,-35,,,,,,,,,,846,,,,362,,1,8,16,-1,,
,-3661,3,,,,,,,,,,-1564,,,,-1073,,2,-5,-2,-7,,
,-3788,,,,,,,,,,,-1232,,,,-815,,-23,16,12,2,,
,-3772,-1,,,,,,,,,,80,,,,-49,,-36,5,3,4,,
,-3312,1,,,,,,,,,,1588,,,,830,,-9,-7,-12,-2,,
,-3725,-32,,,,,,,,,,1029,,,,554,,61,-8,-17,-3,,
,-3421,13,,,,,,,,,,-1510,,,,-1014,,47,9,9,21,,
,-3737,-2,,,,,,,,,,-1345,,,,-938,,-6,13,11,-4,,
,-3481,-11,,,,,,,,,,143,,,,18,,-46,-26,-23,-15,,
12,-3774,47956,,,,,,,,,,1125,,,,-486,,33,7,26,2,,
,-3536,18,,,,,,,,,,-1121,,,,-736,,10,-3,-4,1,,
,-3780,-11,,,,,,,,,,432,,,,277,,-23,13,-8,2,,
,-2336,-44,,,,,,,,,,1819,,,,1034,,-29,-21,7,-27,,
,61,,,,,,,,,,,607,,,,189,,30,25,-8,17,,
,6,3,,,,,,,,,,-1720,,,,-1194,,7,-24,9,-6,,
,114,-3,,,,,,,,,,-1360,,,,-979,,-23,17,-17,17,,
,470,,,,,,,,,,,252,,,,90,,-34,-9,11,-5,,
,-512,,,,,,,,,,,1968,,,,1176,,-11,-8,2,5,,
,68,-33,,,,,,,,,,845,,,,440,,54,-11,-17,2,,
,37,4,,,,,,,,,,-1730,,,,-1201,,3,11,27,-5,,
,1808,-3,,,,,,,,,,-1300,,,,-926,,-25,4,-2,5,,
,-2087,-6,,,,,,,,,,458,,,,286,,-14,28,-15,-7,,
,416,-5,,,,,,,,,,1935,,,,1137,,-2,-12,13,7,,
,398,,,,,,,,,,,565,,,,177,,39,-17,-6,-8,,
,324,-22,,,,,,,,,,-1747,,,,-1210,,13,6,2,-8,,
,2047,22,,,,,,,,,,-1281,,,,-912,,4,16,10,8,,
,-2525,-34,,,,,,,,,,347,,,,170,,-11,-18,-15,-1,,
,-134,5,,,,,,,,,,1785,,,,988,,-14,20,22,-6,,
,353,13,,,,,,,,,,719,,,,347,,46,-14,-21,27,,
,2632,-5,,,,,,,,,,-1695,,,,-1154,,8,8,-7,-11,,
,-3356,-35,,,,,,,,,,-993,,,,-636,,-30,-2,-1,-6,,
,-626,22,,,,,,,,,,292,,,,105,,-40,,10,-8,,
,394,-30,,,,,,,,,,1687,,,,886,,-11,-23,-2,19,,
,89,17,,,,,,,,,,522,,,,158,,56,19,-5,-12,,
,-396,-17,,,,,,,,,,-1630,,,,-1080,,12,-18,-4,2,,
,403,,,,,,,,,,,-1136,,,,-786,,-18,15,21,11,,
,89272,-16,,,,,,,,,,250,,,,50,,-16,-5,-19,-16,,
,-3567,-12,,,,,,,,,,1979,,,,1175,,-17,17,26,6,,
,-3215,1,,,,,,,,,,390,,,,44,,31,-10,,9,,
,-3661,14,,,,,,,,,,-1742,,,,-1185,,17,-17,-10,-10,,
,-3514,-30,,,,,,,,,,-888,,,,-543,,-20,-5,-6,-3,,
,-3778,15,,,,,,,,,,595,,,,389,,-27,29,-2,14,,
,-3571,-17,,,,,,,,,,1630,,,,822,,-25,4,-11,-4,,
,-3795,-15,,,,,,,,,,567,,,,234,,33,-7,9,-6,,
,-3404,,,,,,,,,,,-1752,,,,-1196,,-3,-8,11,-10,,
,-3701,,,,,,,,,,,-897,,,,-556,,-13,-24,-15,10,,
,-3424,4,,,,,,,,,,340,,,,127,,29,11,-2,9,,
,-3739,-22,,,,,,,,,,2009,,,,1192,,-3,-10,3,7,,
,-3585,,,,,,,,,,,601,,,,282,,23,14,4,-30,,
,-1843,4,,,,,,,,,,-1821,,,,-1258,,8,8,17,8,,
,-3374,-17,,,,,,,,,,-989,,,,-652,,-19,-11,-26,4,,
,-3758,,,,,,,,,,,315,,,,94,,-15,14,12,11,,
6,-3463,23971,,,,,,,,,,2138,,,,560,,-8,11,3,-13,,
,-3750,17,,,,,,,,,,-1802,,,,-1238,,20,-12,,-4,,
,-3624,-27,,,,,,,,,,-927,,,,-606,,-6,5,-16,5,,
,-844,,,,,,,,,,,428,,,,189,,-26,17,16,-20,,
,-1576,-10,,,,,,,,,,1902,,,,1078,,-5,-20,3,10,,
,365,-12,,,,,,,,,,463,,,,190,,24,-25,-14,10,,
,-140,-17,,,,,,,,,,-1664,,,,-1090,,31,18,1,2,,
