Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Right arm 1 (uV),Right arm 2 (uV),Left leg (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
1867,7901976,492228385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66605,1.7433,-14.3934,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,297,1,,,,,,,,,5,-1,2,,,,,,,,,,
,-1422,19,,,,,,,,,-10,23,-4,,,,,,,,,,
,2475,-17,,,,,,,,,6,-7,-3,,,,,,,,,,
,-1101,-14,,,,,,,,,-4,-6,7,,,,,,,,,,
,-636,14,,,,,,,,,-9,13,-3,,,,,,,,,,
,-223,-15,,,,,,,,,7,-5,-5,,,,,,,,,,
,1947,3,,,,,,,,,10,-2,,,,,,,,,,,
,-1379,-3,,,,,,,,,-1,5,3,,,,,,,,,,
,-678,-19,,,,,,,,,9,9,-5,,,,,,,,,,
,866,-4,,,,,,,,,-2,-12,1,,,,,,,,,,
,18,6,,,,,,,,,-13,-4,2,,,,,,,,,,
,-1060,17,,,,,,,,,,12,-4,,,,,,,,,,
,734,-3,,,,,,,,,12,-6,1,,,,,,,,,,
,1638,-15,,,,,,,,,-8,-10,-2,,,,,,,,,,
,-2401,-2,,,,,,,,,-1,6,10,,,,,,,,,,
,728,-11,,,,,,,,,15,10,-3,,,,,,,,,,
,-394,-4,,,,,,,,,-5,-15,-19,,,,,,,,,,
,-178,28,,,,,,,,,-9,,9,,,,,,,,,,
,101,-18,,,,,,,,,-6,7,2,,,,,,,,,,
,980,-11,,,,,,,,,-4,2,-4,,,,,,,,,,
,-911,12,,,,,,,,,-7,-5,14,,,,,,,,,,
,-156,-11,,,,,,,,,10,-1,-1,,,,,,,,,,
,218,18,,,,,,,,,,1,-3,,,,,,,,,,
,-148,-2,,,,,,,,,10,1,4,,,,,,,,,,
,-438,-28,,,,,,,,,9,7,,,,,,,,,,,
,-12,20,,,,,,,,,13,-2,5,,,,,,,,,,
,257,-21,,,,,,,,,-26,-6,-1,,,,,,,,,,
,4,,,,,,,,,,7,-9,-20,,,,,,,,,,
,-286,1,,,,,,,,,-10,8,6,,,,,,,,,,
,-31,3,,,,,,,,,-3,11,5,,,,,,,,,,
,643,-3,,,,,,,,,,-2,5,,,,,,,,,,
,-867,-2,,,,,,,,,-6,-9,-7,,,,,,,,,,
,-228,-24,,,,,,,,,6,-1,2,,,,,,,,,,
,258,27,,,,,,,,,-9,,,,,,,,,,,,
,2126,10,,,,,,,,,-1,-1,8,,,,,,,,,,
,-2007,-37,,,,,,,,,23,8,-4,,,,,,,,,,
,4,-7,,,,,,,,,5,18,-11,,,,,,,,,,
,841,,,,,,,,,,-10,-11,13,,,,,,,,,,
,344,,,,,,,,,,3,-10,-4,,,,,,,,,,
,-1398,,,,,,,,,,,-9,-4,,,,,,,,,,
,806,-11,,,,,,,,,,-3,7,,,,,,,,,,
,-691,11,,,,,,,,,-19,-5,-2,,,,,,,,,,
,281,-33,,,,,,,,,-4,20,,,,,,,,,,,
,-97,23,,,,,,,,,12,,2,,,,,,,,,,
,663,1,,,,,,,,,-5,3,-2,,,,,,,,,,
,-780,-22,,,,,,,,,18,-15,8,,,,,,,,,,
,321,,,,,,,,,,-10,-5,-6,,,,,,,,,,
,221,,,,,,,,,,-1,4,-6,,,,,,,,,,
,-365,-13,,,,,,,,,2,3,-2,,,,,,,,,,
,304,,,,,,,,,,-2,6,3,,,,,,,,,,
,-589,2,,,,,,,,,-4,-6,-1,,,,,,,,,,
,356,-15,,,,,,,,,5,8,-3,,,,,,,,,,
,528,13,,,,,,,,,9,-9,15,,,,,,,,,,
,2213,-19,,,,,,,,,-16,4,2,,,,,,,,,,
,-1404,25,,,,,,,,,7,-5,-11,,,,,,,,,,
,-932,-24,,,,,,,,,13,5,3,,,,,,,,,,
,537,-13,,,,,,,,,-13,4,-5,,,,,,,,,,
,-283,4,,,,,,,,,-7,-11,-2,,,,,,,,,,
,-171,9,,,,,,,,,2,,-1,,,,,,,,,,
,343,4,,,,,,,,,3,2,1,,,,,,,,,,
,13,-31,,,,,,,,,14,3,,,,,,,,,,,
,569,,,,,,,,,,-4,12,-2,,,,,,,,,,
,-753,14,,,,,,,,,4,2,7,,,,,,,,,,
,-812,,,,,,,,,,-6,-3,-2,,,,,,,,,,
,364,-27,,,,,,,,,-9,-16,,,,,,,,,,,
,373,10,,,,,,,,,2,-12,6,,,,,,,,,,
,74,-9,,,,,,,,,6,16,6,,,,,,,,,,
,-226,9,,,,,,,,,-3,,-12,,,,,,,,,,
,752,,,,,,,,,,3,8,7,,,,,,,,,,
,1500,,,,,,,,,,-8,5,6,,,,,,,,,,
,-626,-29,,,,,,,,,8,-5,-4,,,,,,,,,,
,-1792,20,,,,,,,,,-6,-2,-1,,,,,,,,,,
,731,-21,,,,,,,,,1,-5,8,,,,,,,,,,
,-737,-1,,,,,,,,,1,19,-13,,,,,,,,,,
,681,1,,,,,,,,,2,1,-6,,,,,,,,,,
,-637,-9,,,,,,,,,-1,-11,7,,,,,,,,,,
,186,-1,,,,,,,,,4,1,-2,,,,,,,,,,
,347,10,,,,,,,,,-4,-5,10,,,,,,,,,,
,569,-28,,,,,,,,,6,-1,-13,,,,,,,,,,
,-1076,-4,,,,,,,,,-4,2,-3,,,,,,,,,,
,1264,,,,,,,,,,-12,-4,-12,,,,,,,,,,
,-564,4,,,,,,,,,1,-3,3,,,,,,,,,,
,-553,17,,,,,,,,,10,4,11,,,,,,,,,,
,-610,-34,,,,,,,,,-8,4,4,,,,,,,,,,
,1254,3,,,,,,,,,,7,-1,,,,,,,,,,
,-262,13,,,,,,,,,13,-5,9,,,,,,,,,,
,196,-16,,,,,,,,,-11,-1,6,,,,,,,,,,
,-692,16,,,,,,,,,-9,-5,-9,,,,,,,,,,
,1049,-30,,,,,,,,,5,-1,-1,,,,,,,,,,
,-47,-4,,,,,,,,,15,3,-6,,,,,,,,,,
,-1313,,,,,,,,,,-10,-13,-15,,,,,,,,,,
,1371,,,,,,,,,,,7,5,,,,,,,,,,
,-1119,-13,,,,,,,,,9,-2,11,,,,,,,,,,
,47,13,,,,,,,,,,9,-9,,,,,,,,,,
,126,3,,,,,,,,,5,,12,,,,,,,,,,
,-748,-3,,,,,,,,,4,-9,6,,,,,,,,,,
,863,-27,,,,,,,,,-16,-12,1,,,,,,,,,,
,5978,27,,,,,,,,,-10,16,-5,,,,,,,,,,
,-3387,-10,,,,,,,,,6,-1,,,,,,,,,,,
,-3708,-12,,,,,,,,,3,10,-6,,,,,,,,,,
,2262,-4,,,,,,,,,2,-7,-1,,,,,,,,,,
,-1272,-15,,,,,,,,,-9,6,-6,,,,,,,,,,
,-428,-2,,,,,,,,,3,4,4,,,,,,,,,,
,-607,3,,,,,,,,,3,-16,2,,,,,,,,,,
,3812,,,,,,,,,,21,5,2,,,,,,,,,,
,-3218,4,,,,,,,,,-2,18,1,,,,,,,,,,
,301,6,,,,,,,,,-14,-12,-7,,,,,,,,,,
,-59,-13,,,,,,,,,-1,6,12,,,,,,,,,,
,1584,-22,,,,,,,,,8,-4,-5,,,,,,,,,,
,-1544,22,,,,,,,,,-10,-20,7,,,,,,,,,,
,218,,,,,,,,,,-5,11,-5,,,,,,,,,,
,-255,-19,,,,,,,,,-3,4,,,,,,,,,,,
,-294,-9,,,,,,,,,9,-2,4,,,,,,,,,,
,341,10,,,,,,,,,-4,-4,-6,,,,,,,,,,
,69,,,,,,,,,,1,,-7,,,,,,,,,,
,22,,,,,,,,,,-3,2,1,,,,,,,,,,
,-57,-24,,,,,,,,,3,4,6,,,,,,,,,,
,723,37,,,,,,,,,-3,3,-3,,,,,,,,,,
,-1084,-34,,,,,,,,,-7,4,-6,,,,,,,,,,
,1735,-42,,,,,,,,,17,-2,11,,,,,,,,,,
,-1825,11,,,,,,,,,4,1,-1,,,,,,,,,,
,350,-14,,,,,,,,,-13,-3,-3,,,,,,,,,,
,255,13,,,,,,,,,-1,-20,-4,,,,,,,,,,
,440,-9,,,,,,,,,5,7,3,,,,,,,,,,
,-905,-17,,,,,,,,,8,13,5,,,,,,,,,,
,1525,16,,,,,,,,,3,-8,-9,,,,,,,,,,
,-1702,-22,,,,,,,,,-8,-2,2,,,,,,,,,,
,548,22,,,,,,,,,6,-1,2,,,,,,,,,,
,-16,-20,,,,,,,,,-7,-10,5,,,,,,,,,,
,808,-1,,,,,,,,,,2,3,,,,,,,,,,
,-1244,1,,,,,,,,,5,5,-2,,,,,,,,,,
,1262,-12,,,,,,,,,-8,-4,-7,,,,,,,,,,
,-1349,11,,,,,,,,,8,22,-3,,,,,,,,,,
,404,-10,,,,,,,,,-6,-12,11,,,,,,,,,,
,-820,10,,,,,,,,,-4,2,-4,,,,,,,,,,
,1815,-11,,,,,,,,,4,,-7,,,,,,,,,,
,-1138,-22,,,,,,,,,-6,-7,4,,,,,,,,,,
,859,4,,,,,,,,,22,9,,,,,,,,,,,
,-715,17,,,,,,,,,-2,3,11,,,,,,,,,,
,602,-20,,,,,,,,,3,6,3,,,,,,,,,,
,-367,,,,,,,,,,-8,-18,-3,,,,,,,,,,
,793,1,,,,,,,,,-19,-3,-13,,,,,,,,,,
,-975,-9,,,,,,,,,6,1,5,,,,,,,,,,
,97,-1,,,,,,,,,2,6,,,,,,,,,,,
,695,9,,,,,,,,,2,6,-8,,,,,,,,,,
,-944,-31,,,,,,,,,-1,8,-2,,,,,,,,,,
,-79,22,,,,,,,,,2,-6,10,,,,,,,,,,
,1329,,,,,,,,,,-12,-15,6,,,,,,,,,,
,-1558,-20,,,,,,,,,10,13,-1,,,,,,,,,,
,509,,,,,,,,,,12,-1,-8,,,,,,,,,,
,77,,,,,,,,,,13,1,3,,,,,,,,,,
,1425,-11,,,,,,,,,-15,-7,-2,,,,,,,,,,
,-2067,-1,,,,,,,,,-7,5,7,,,,,,,,,,
,258,2,,,,,,,,,-11,5,-14,,,,,,,,,,
,530,-1,,,,,,,,,13,-4,-1,,,,,,,,,,
,-808,-2,,,,,,,,,3,3,,,,,,,,,,,
,310,2,,,,,,,,,-5,2,3,,,,,,,,,,
,375,-33,,,,,,,,,1,-9,6,,,,,,,,,,
,-338,1,,,,,,,,,-9,-5,-2,,,,,,,,,,
,-402,,,,,,,,,,9,5,-6,,,,,,,,,,
,465,2,,,,,,,,,-9,-8,9,,,,,,,,,,
,-617,1,,,,,,,,,-5,8,5,,,,,,,,,,
,1870,16,,,,,,,,,5,-8,-6,,,,,,,,,,
,-1275,-18,,,,,,,,,3,6,8,,,,,,,,,,
,137,,,,,,,,,,8,8,3,,,,,,,,,,
,-337,1,,,,,,,,,-11,-16,-1,,,,,,,,,,
,207,-2,,,,,,,,,2,21,1,,,,,,,,,,
,-528,-19,,,,,,,,,6,-6,-12,,,,,,,,,,
,496,-10,,,,,,,,,-1,8,-5,,,,,,,,,,
,-506,,,,,,,,,,2,-4,9,,,,,,,,,,
,369,,,,,,,,,,-1,-10,,,,,,,,,,,
,-19,,,,,,,,,,-6,3,-2,,,,,,,,,,
,-436,,,,,,,,,,-6,8,-2,,,,,,,,,,
,377,-21,,,,,,,,,-3,-5,2,,,,,,,,,,
,310,22,,,,,,,,,3,-7,-2,,,,,,,,,,
,-392,-2,,,,,,,,,6,4,2,,,,,,,,,,
,24,-31,,,,,,,,,4,,-5,,,,,,,,,,
,-505,-2,,,,,,,,,-1,-7,-3,,,,,,,,,,
,456,13,,,,,,,,,2,14,9,,,,,,,,,,
,-258,,,,,,,,,,-7,-10,1,,,,,,,,,,
,371,2,,,,,,,,,-8,-2,2,,,,,,,,,,
,-69,-11,,,,,,,,,-5,-2,,,,,,,,,,,
,-37,-2,,,,,,,,,5,5,-4,,,,,,,,,,
,1339,-22,,,,,,,,,10,7,-3,,,,,,,,,,
,-1499,23,,,,,,,,,3,-12,2,,,,,,,,,,
,527,-20,,,,,,,,,2,9,4,,,,,,,,,,
,-334,,,,,,,,,,5,2,2,,,,,,,,,,
,-112,-10,,,,,,,,,-1,8,-4,,,,,,,,,,
,1419,-1,,,,,,,,,-9,-2,,,,,,,,,,,
,-750,15,,,,,,,,,4,-14,6,,,,,,,,,,
,-1084,-4,,,,,,,,,-6,-1,-2,,,,,,,,,,
,1768,-31,,,,,,,,,3,-5,-7,,,,,,,,,,
,-1549,-2,,,,,,,,,,3,-8,,,,,,,,,,
,1562,3,,,,,,,,,-1,12,10,,,,,,,,,,
,-870,-12,,,,,,,,,2,-2,8,,,,,,,,,,
,-332,13,,,,,,,,,-5,-9,-11,,,,,,,,,,
,512,-12,,,,,,,,,7,-2,-6,,,,,,,,,,
,3290,,,,,,,,,,10,10,5,,,,,,,,,,
,-1614,,,,,,,,,,-3,11,-6,,,,,,,,,,
,-2150,-11,,,,,,,,,-1,-1,5,,,,,,,,,,
,75,-10,,,,,,,,,-13,-13,17,,,,,,,,,,
,-267,20,,,,,,,,,-5,4,1,,,,,,,,,,
,1266,1,,,,,,,,,-1,,1,,,,,,,,,,
,-112,-20,,,,,,,,,4,1,-12,,,,,,,,,,
,-788,,,,,,,,,,3,-1,-3,,,,,,,,,,
,-342,-11,,,,,,,,,13,2,-2,,,,,,,,,,
,-771,,,,,,,,,,5,-7,-2,,,,,,,,,,
,3143,9,,,,,,,,,-13,-1,8,,,,,,,,,,
,-2482,-15,,,,,,,,,-6,-2,,,,,,,,,,,
,622,-15,,,,,,,,,16,4,2,,,,,,,,,,
,-615,21,,,,,,,,,-18,19,-8,,,,,,,,,,
,712,1,,,,,,,,,-1,-3,-4,,,,,,,,,,
,-52,-21,,,,,,,,,9,-7,2,,,,,,,,,,
,-194,-2,,,,,,,,,4,-18,5,,,,,,,,,,
,370,6,,,,,,,,,2,-7,4,,,,,,,,,,
,-908,3,,,,,,,,,2,20,-9,,,,,,,,,,
,392,-18,,,,,,,,,-20,-1,1,,,,,,,,,,
,975,-1,,,,,,,,,5,-14,4,,,,,,,,,,
,-942,-19,,,,,,,,,-3,15,-5,,,,,,,,,,
,-205,20,,,,,,,,,15,15,,,,,,,,,,,
,369,1,,,,,,,,,4,-12,2,,,,,,,,,,
,-552,-34,,,,,,,,,-10,-5,-7,,,,,,,,,,
,846,14,,,,,,,,,-9,-6,7,,,,,,,,,,
,-405,-2,,,,,,,,,-4,19,-12,,,,,,,,,,
,1007,-9,,,,,,,,,-5,,8,,,,,,,,,,
,3393,,,,,,,,,,14,-12,1,,,,,,,,,,
,-3505,12,,,,,,,,,12,1,1,,,,,,,,,,
,-1142,-2,,,,,,,,,,-4,-5,,,,,,,,,,
,1103,-10,,,,,,,,,-5,12,16,,,,,,,,,,
,-1425,-12,,,,,,,,,2,-13,5,,,,,,,,,,
,831,,,,,,,,,,-8,8,2,,,,,,,,,,
,-561,,,,,,,,,,11,7,3,,,,,,,,,,
,328,9,,,,,,,,,-14,-13,-13,,,,,,,,,,
,-210,-9,,,,,,,,,-8,-7,,,,,,,,,,,
,563,-17,,,,,,,,,17,15,1,,,,,,,,,,
,-807,,,,,,,,,,7,8,-3,,,,,,,,,,
,1678,-1,,,,,,,,,-4,-18,-4,,,,,,,,,,
,-899,19,,,,,,,,,-19,1,-2,,,,,,,,,,
,57,-19,,,,,,,,,-2,,-4,,,,,,,,,,
,-955,-15,,,,,,,,,15,-7,-2,,,,,,,,,,
,-252,-17,,,,,,,,,1,3,10,,,,,,,,,,
,1064,32,,,,,,,,,7,4,1,,,,,,,,,,
,-347,-26,,,,,,,,,-15,-11,-5,,,,,,,,,,
,-264,2,,,,,,,,,-5,-3,-1,,,,,,,,,,
,-13,,,,,,,,,,12,10,3,,,,,,,,,,
,610,-9,,,,,,,,,-2,2,11,,,,,,,,,,
,-523,-12,,,,,,,,,-5,7,-11,,,,,,,,,,
,-33,4,,,,,,,,,,-1,10,,,,,,,,,,
,203,1,,,,,,,,,6,7,-10,,,,,,,,,,
,312,-4,,,,,,,,,14,,-7,,,,,,,,,,
,-248,4,,,,,,,,,9,,-4,,,,,,,,,,
,122,-16,,,,,,,,,-24,3,17,,,,,,,,,,
,-519,-4,,,,,,,,,-14,-8,,,,,,,,,,,
,32,4,,,,,,,,,9,9,-18,,,,,,,,,,
,597,-3,,,,,,,,,14,-9,-1,,,,,,,,,,
,-655,3,,,,,,,,,-5,-2,15,,,,,,,,,,
,616,-21,,,,,,,,,4,2,-1,,,,,,,,,,
,304,1,,,,,,,,,-1,5,-6,,,,,,,,,,
,1909,4,,,,,,,,,1,-10,-4,,,,,,,,,,
,-2770,19,,,,,,,,,7,-7,3,,,,,,,,,,
,318,-25,,,,,,,,,-4,8,2,,,,,,,,,,
,791,3,,,,,,,,,-6,4,7,,,,,,,,,,
,-731,-4,,,,,,,,,-2,4,-3,,,,,,,,,,
,154,-31,,,,,,,,,6,-3,-7,,,,,,,,,,
,-119,24,,,,,,,,,-3,-13,5,,,,,,,,,,
,306,-10,,,,,,,,,4,-5,,,,,,,,,,,
,-916,-13,,,,,,,,,-2,9,2,,,,,,,,,,
,-54,-14,,,,,,,,,-15,-12,9,,,,,,,,,,
,-101,16,,,,,,,,,10,17,1,,,,,,,,,,
,1463,-11,,,,,,,,,3,1,-14,,,,,,,,,,
,-954,12,,,,,,,,,5,-2,9,,,,,,,,,,
,382,-3,,,,,,,,,-1,-4,-3,,,,,,,,,,
,-208,-30,,,,,,,,,-10,6,-2,,,,,,,,,,
,-931,3,,,,,,,,,-3,-12,15,,,,,,,,,,
,327,3,,,,,,,,,12,25,-8,,,,,,,,,,
,2042,-5,,,,,,,,,-5,-12,-9,,,,,,,,,,
,-1545,12,,,,,,,,,4,-1,5,,,,,,,,,,
,-267,-11,,,,,,,,,2,8,-5,,,,,,,,,,
,181,,,,,,,,,,-2,3,7,,,,,,,,,,
,7,1,,,,,,,,,12,-1,3,,,,,,,,,,
,641,-2,,,,,,,,,-9,-6,-20,,,,,,,,,,
,-791,1,,,,,,,,,9,-11,13,,,,,,,,,,
,-116,-16,,,,,,,,,-4,1,4,,,,,,,,,,
,-13,-1,,,,,,,,,-5,12,-7,,,,,,,,,,
,198,1,,,,,,,,,9,1,-7,,,,,,,,,,
,-289,,,,,,,,,,6,2,9,,,,,,,,,,
,51,,,,,,,,,,-9,-2,4,,,,,,,,,,
,-272,-1,,,,,,,,,-4,-4,-2,,,,,,,,,,
,398,2,,,,,,,,,-6,-8,2,,,,,,,,,,
,-180,-1,,,,,,,,,-2,-1,-8,,,,,,,,,,
,2268,-46,,,,,,,,,-5,6,-2,,,,,,,,,,
,-2572,45,,,,,,,,,2,15,5,,,,,,,,,,
,488,-44,,,,,,,,,2,7,-2,,,,,,,,,,
,320,-1,,,,,,,,,-13,-29,2,,,,,,,,,,
,-280,-13,,,,,,,,,10,-11,6,,,,,,,,,,
,250,24,,,,,,,,,,18,4,,,,,,,,,,
,-356,-5,,,,,,,,,5,-1,,,,,,,,,,,
,185,-19,,,,,,,,,5,3,-5,,,,,,,,,,
,-158,3,,,,,,,,,-10,-1,-1,,,,,,,,,,
,113,-2,,,,,,,,,4,3,-2,,,,,,,,,,
,592,-21,,,,,,,,,-17,-13,3,,,,,,,,,,
,-547,2,,,,,,,,,5,13,3,,,,,,,,,,
,80,1,,,,,,,,,-2,-12,-1,,,,,,,,,,
,-41,-1,,,,,,,,,14,11,-16,,,,,,,,,,
,716,,,,,,,,,,-13,-8,6,,,,,,,,,,
,-355,-13,,,,,,,,,11,-6,9,,,,,,,,,,
,-354,,,,,,,,,,2,-8,-2,,,,,,,,,,
,-611,3,,,,,,,,,1,24,3,,,,,,,,,,
,-297,-19,,,,,,,,,7,-4,4,,,,,,,,,,
,4747,-2,,,,,,,,,-8,-9,6,,,,,,,,,,
,-1635,4,,,,,,,,,,2,-14,,,,,,,,,,
,-2159,-1,,,,,,,,,-8,-19,-6,,,,,,,,,,
,3046,7,,,,,,,,,3,14,4,,,,,,,,,,
,-3515,7,,,,,,,,,,2,6,,,,,,,,,,
,-87,-29,,,,,,,,,,-22,-8,,,,,,,,,,
,174,12,,,,,,,,,6,7,8,,,,,,,,,,
,567,-3,,,,,,,,,1,26,5,,,,,,,,,,
,-610,-4,,,,,,,,,6,2,-15,,,,,,,,,,
,-339,1,,,,,,,,,-10,-1,4,,,,,,,,,,
,556,3,,,,,,,,,-5,-8,6,,,,,,,,,,
,-427,22,,,,,,,,,7,9,-6,,,,,,,,,,
,107,-38,,,,,,,,,7,4,1,,,,,,,,,,
,-454,1,,,,,,,,,-8,-8,,,,,,,,,,,
,-360,17,,,,,,,,,-14,8,1,,,,,,,,,,
,1833,1,,,,,,,,,26,1,-2,,,,,,,,,,
,-550,-1,,,,,,,,,-10,11,-9,,,,,,,,,,
,-996,-29,,,,,,,,,-11,-16,3,,,,,,,,,,
,654,3,,,,,,,,,3,-19,-8,,,,,,,,,,
,-590,15,,,,,,,,,6,8,7,,,,,,,,,,
,369,-17,,,,,,,,,-3,4,13,,,,,,,,,,
,-344,,,,,,,,,,1,5,-3,,,,,,,,,,
,553,-1,,,,,,,,,-12,1,-1,,,,,,,,,,
,-621,1,,,,,,,,,9,-6,-7,,,,,,,,,,
,286,,,,,,,,,,,,,,,,,,,,,,
,577,1,,,,,,,,,-2,4,5,,,,,,,,,,
,1793,-30,,,,,,,,,16,-4,-9,,,,,,,,,,
,-1674,30,,,,,,,,,-6,8,4,,,,,,,,,,
,-315,-34,,,,,,,,,4,4,10,,,,,,,,,,
,88,,,,,,,,,,-2,-15,-2,,,,,,,,,,
,163,-1,,,,,,,,,-5,-6,1,,,,,,,,,,
,-194,-13,,,,,,,,,-5,5,4,,,,,,,,,,
,-405,14,,,,,,,,,,-8,-17,,,,,,,,,,
,675,-14,,,,,,,,,15,4,5,,,,,,,,,,
,-1030,,,,,,,,,,-1,6,15,,,,,,,,,,
,144,-17,,,,,,,,,-5,-4,-6,,,,,,,,,,
,-60,27,,,,,,,,,-7,-6,-5,,,,,,,,,,
,310,-10,,,,,,,,,8,5,-5,,,,,,,,,,
,26,-17,,,,,,,,,-2,,4,,,,,,,,,,
,229,,,,,,,,,,4,2,2,,,,,,,,,,
,-151,,,,,,,,,,2,,-1,,,,,,,,,,
,-293,,,,,,,,,,5,7,4,,,,,,,,,,
,-212,-10,,,,,,,,,-7,4,-2,,,,,,,,,,
,1377,-1,,,,,,,,,-2,-6,5,,,,,,,,,,
,-1136,-20,,,,,,,,,2,,-2,,,,,,,,,,
,-89,21,,,,,,,,,-11,3,,,,,,,,,,,
,196,1,,,,,,,,,4,4,4,,,,,,,,,,
,-90,-22,,,,,,,,,2,-9,-8,,,,,,,,,,
,-46,-1,,,,,,,,,-9,1,2,,,,,,,,,,
,134,1,,,,,,,,,-2,6,2,,,,,,,,,,
,530,-13,,,,,,,,,-7,2,5,,,,,,,,,,
,-1057,12,,,,,,,,,16,-9,-2,,,,,,,,,,
,887,1,,,,,,,,,1,1,3,,,,,,,,,,
,-327,-27,,,,,,,,,1,13,-8,,,,,,,,,,
,238,14,,,,,,,,,-5,-15,,,,,,,,,,,
,1558,-13,,,,,,,,,-8,-14,1,,,,,,,,,,
,-1907,-4,,,,,,,,,8,24,-3,,,,,,,,,,
,1620,,,,,,,,,,,,1,,,,,,,,,,
,-541,-2,,,,,,,,,6,-13,-2,,,,,,,,,,
,-446,2,,,,,,,,,2,-2,1,,,,,,,,,,
,-321,,,,,,,,,,-3,,5,,,,,,,,,,
,676,-23,,,,,,,,,,16,-10,,,,,,,,,,
,-80,22,,,,,,,,,2,,9,,,,,,,,,,
,-451,-10,,,,,,,,,-1,-5,1,,,,,,,,,,
,-36,-18,,,,,,,,,-7,-5,-8,,,,,,,,,,
,336,3,,,,,,,,,19,10,-4,,,,,,,,,,
,14,13,,,,,,,,,-15,-2,2,,,,,,,,,,
,464,-11,,,,,,,,,-6,-14,3,,,,,,,,,,
,-463,-5,,,,,,,,,3,6,,,,,,,,,,,
,444,-2,,,,,,,,,-2,4,6,,,,,,,,,,
,2219,-11,,,,,,,,,2,5,-7,,,,,,,,,,
,-2536,-16,,,,,,,,,,13,5,,,,,,,,,,
,101,-4,,,,,,,,,9,-15,8,,,,,,,,,,
,-1059,,,,,,,,,,2,-13,-3,,,,,,,,,,
,-185,,,,,,,,,,-31,-1,-1,,,,,,,,,,
,449,18,,,,,,,,,13,10,-6,,,,,,,,,,
,940,-15,,,,,,,,,9,-4,-4,,,,,,,,,,
,-1349,-13,,,,,,,,,-6,3,2,,,,,,,,,,
,637,-3,,,,,,,,,8,3,-1,,,,,,,,,,
,-137,,,,,,,,,,-9,1,7,,,,,,,,,,
,7,13,,,,,,,,,2,4,-10,,,,,,,,,,
,-210,-31,,,,,,,,,17,-2,-5,,,,,,,,,,
,1782,18,,,,,,,,,-3,-19,17,,,,,,,,,,
,-2007,15,,,,,,,,,-1,13,-1,,,,,,,,,,
,1376,-33,,,,,,,,,11,12,-1,,,,,,,,,,
,-653,-13,,,,,,,,,-11,-14,,,,,,,,,,,
,-269,22,,,,,,,,,-9,-3,1,,,,,,,,,,
,517,-22,,,,,,,,,7,5,-2,,,,,,,,,,
,-687,,,,,,,,,,-3,,-4,,,,,,,,,,
,-589,-13,,,,,,,,,1,5,-7,,,,,,,,,,
,1296,-4,,,,,,,,,-11,-5,,,,,,,,,,,
,503,17,,,,,,,,,-1,-8,12,,,,,,,,,,
,-1449,3,,,,,,,,,-2,,,,,,,,,,,,
,102,-30,,,,,,,,,5,8,-2,,,,,,,,,,
,2823,-3,,,,,,,,,1,7,7,,,,,,,,,,
,-2002,26,,,,,,,,,3,-6,-1,,,,,,,,,,
,-1352,-13,,,,,,,,,-16,-16,-8,,,,,,,,,,
,578,-13,,,,,,,,,2,18,-6,,,,,,,,,,
,641,3,,,,,,,,,8,10,10,,,,,,,,,,
,-54,-21,,,,,,,,,7,-15,2,,,,,,,,,,
,192,-4,,,,,,,,,6,-16,-22,,,,,,,,,,
,-176,4,,,,,,,,,-18,1,9,,,,,,,,,,
,-534,-10,,,,,,,,,12,11,9,,,,,,,,,,
,2516,10,,,,,,,,,-7,4,-5,,,,,,,,,,
,-3021,13,,,,,,,,,-5,-1,2,,,,,,,,,,
,858,-13,,,,,,,,,2,,-2,,,,,,,,,,
,-311,5,,,,,,,,,11,10,-2,,,,,,,,,,
,206,-5,,,,,,,,,6,4,3,,,,,,,,,,
,-366,-54,,,,,,,,,3,-6,-2,,,,,,,,,,
,-220,-2,,,,,,,,,-10,2,3,,,,,,,,,,
,621,4,,,,,,,,,-2,-4,-5,,,,,,,,,,
,-462,-10,,,,,,,,,-11,-1,1,,,,,,,,,,
,-450,-4,,,,,,,,,16,5,3,,,,,,,,,,
,529,3,,,,,,,,,-5,-4,4,,,,,,,,,,
,636,10,,,,,,,,,1,-3,-5,,,,,,,,,,
,-288,-3,,,,,,,,,6,2,5,,,,,,,,,,
,-317,-24,,,,,,,,,3,-7,,,,,,,,,,,
,-179,-3,,,,,,,,,4,13,-3,,,,,,,,,,
,191,18,,,,,,,,,7,7,10,,,,,,,,,,
,-396,-19,,,,,,,,,-12,-16,-6,,,,,,,,,,
,326,-14,,,,,,,,,-13,-4,-1,,,,,,,,,,
,761,14,,,,,,,,,3,-3,7,,,,,,,,,,
,-1446,,,,,,,,,,8,8,-9,,,,,,,,,,
,400,-11,,,,,,,,,5,20,6,,,,,,,,,,
,-55,11,,,,,,,,,-12,-11,-9,,,,,,,,,,
,-135,2,,,,,,,,,-1,-2,,,,,,,,,,,
,35,-13,,,,,,,,,10,-2,7,,,,,,,,,,
,882,-18,,,,,,,,,-7,-8,1,,,,,,,,,,
