Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Right arm 1 (uV),Right arm 2 (uV),Left leg (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
1867,7901976,492228385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66605,1.7433,-14.3934,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,-439,,,,,,,,,,-9,-13,-3,,,,,,,,,,
,368,,,,,,,,,,-4,-7,6,,,,,,,,,,
,-682,1,,,,,,,,,4,4,-1,,,,,,,,,,
,399,-1,,,,,,,,,-4,4,-4,,,,,,,,,,
,698,-10,,,,,,,,,-5,-3,1,,,,,,,,,,
,-41,-11,,,,,,,,,1,-7,4,,,,,,,,,,
,-1092,-9,,,,,,,,,3,-16,-4,,,,,,,,,,
,-173,-3,,,,,,,,,13,13,1,,,,,,,,,,
,23,24,,,,,,,,,-5,8,5,,,,,,,,,,
,405,-3,,,,,,,,,-7,1,-7,,,,,,,,,,
,-394,-19,,,,,,,,,16,13,9,,,,,,,,,,
,-153,,,,,,,,,,-2,-7,-6,,,,,,,,,,
,1555,3,,,,,,,,,-1,13,4,,,,,,,,,,
,-1616,-3,,,,,,,,,-13,-8,-3,,,,,,,,,,
,342,1,,,,,,,,,6,,-9,,,,,,,,,,
,1899,,,,,,,,,,-10,-8,6,,,,,,,,,,
,-1301,-14,,,,,,,,,6,-1,-6,,,,,,,,,,
,177,-17,,,,,,,,,-6,12,-1,,,,,,,,,,
,-879,21,,,,,,,,,-3,-8,,,,,,,,,,,
,-280,-31,,,,,,,,,3,-6,12,,,,,,,,,,
,312,11,,,,,,,,,1,-9,,,,,,,,,,,
,-226,-2,,,,,,,,,4,8,-6,,,,,,,,,,
,42,6,,,,,,,,,-5,6,-1,,,,,,,,,,
,480,-19,,,,,,,,,-1,,10,,,,,,,,,,
,-213,4,,,,,,,,,10,11,-9,,,,,,,,,,
,573,,,,,,,,,,10,-10,,,,,,,,,,,
,-793,-21,,,,,,,,,-22,-6,-4,,,,,,,,,,
,133,5,,,,,,,,,-12,-7,8,,,,,,,,,,
,-652,-4,,,,,,,,,27,1,,,,,,,,,,,
,7579,5,,,,,,,,,-6,-5,3,,,,,,,,,,
,-3612,-5,,,,,,,,,-2,3,4,,,,,,,,,,
,-3357,-4,,,,,,,,,2,4,-6,,,,,,,,,,
,-93,4,,,,,,,,,-4,-6,,,,,,,,,,,
,-96,,,,,,,,,,-7,2,-3,,,,,,,,,,
,671,-1,,,,,,,,,12,2,,,,,,,,,,,
,37,2,,,,,,,,,9,-3,2,,,,,,,,,,
,-135,-21,,,,,,,,,-13,2,2,,,,,,,,,,
,-129,3,,,,,,,,,-5,2,-6,,,,,,,,,,
,474,1,,,,,,,,,-5,-6,-10,,,,,,,,,,
,534,,,,,,,,,,8,7,17,,,,,,,,,,
,-1627,,,,,,,,,,1,1,-1,,,,,,,,,,
,-140,-27,,,,,,,,,7,-6,8,,,,,,,,,,
,463,29,,,,,,,,,12,13,5,,,,,,,,,,
,4803,-2,,,,,,,,,-1,10,-14,,,,,,,,,,
,-3736,-24,,,,,,,,,-12,-7,-1,,,,,,,,,,
,-617,-16,,,,,,,,,-9,-17,10,,,,,,,,,,
,164,32,,,,,,,,,-8,2,-2,,,,,,,,,,
,-277,-51,,,,,,,,,7,12,-8,,,,,,,,,,
,-375,1,,,,,,,,,14,-5,-1,,,,,,,,,,
,2925,11,,,,,,,,,11,9,-6,,,,,,,,,,
,-2872,-1,,,,,,,,,-15,-10,8,,,,,,,,,,
,-248,-9,,,,,,,,,-24,-12,-5,,,,,,,,,,
,768,-4,,,,,,,,,11,5,,,,,,,,,,,
,411,2,,,,,,,,,8,5,1,,,,,,,,,,
,-345,-19,,,,,,,,,-5,6,2,,,,,,,,,,
,-226,1,,,,,,,,,-3,-11,,,,,,,,,,,
,1021,7,,,,,,,,,2,6,-1,,,,,,,,,,
,83,-3,,,,,,,,,6,5,5,,,,,,,,,,
,-1523,1,,,,,,,,,10,4,-7,,,,,,,,,,
,603,-1,,,,,,,,,-1,-4,-3,,,,,,,,,,
,-484,-17,,,,,,,,,-7,5,-3,,,,,,,,,,
,155,-1,,,,,,,,,4,2,1,,,,,,,,,,
,-14,14,,,,,,,,,-4,-7,3,,,,,,,,,,
,623,-13,,,,,,,,,,5,4,,,,,,,,,,
,-222,-20,,,,,,,,,7,-3,-6,,,,,,,,,,
,887,,,,,,,,,,-17,-7,1,,,,,,,,,,
,-434,2,,,,,,,,,10,2,11,,,,,,,,,,
,-1042,15,,,,,,,,,12,,-6,,,,,,,,,,
,286,-16,,,,,,,,,-3,-9,-7,,,,,,,,,,
,753,,,,,,,,,,-4,9,2,,,,,,,,,,
,-409,1,,,,,,,,,-2,-1,15,,,,,,,,,,
,16,-1,,,,,,,,,-18,4,-3,,,,,,,,,,
,-462,-17,,,,,,,,,5,5,-4,,,,,,,,,,
,274,13,,,,,,,,,7,-8,-8,,,,,,,,,,
,176,-1,,,,,,,,,-3,-3,-7,,,,,,,,,,
,-1006,-1,,,,,,,,,-8,5,12,,,,,,,,,,
,485,-11,,,,,,,,,12,5,-3,,,,,,,,,,
,120,,,,,,,,,,-3,-9,1,,,,,,,,,,
,883,5,,,,,,,,,-1,9,-6,,,,,,,,,,
,-847,12,,,,,,,,,11,-7,-5,,,,,,,,,,
,-472,-29,,,,,,,,,5,12,5,,,,,,,,,,
,1899,57,,,,,,,,,-7,,4,,,,,,,,,,
,-1531,-57,,,,,,,,,-1,-7,4,,,,,,,,,,
,25,18,,,,,,,,,-2,-2,3,,,,,,,,,,
,794,-18,,,,,,,,,2,2,-9,,,,,,,,,,
,-931,-1,,,,,,,,,13,5,9,,,,,,,,,,
,-12,2,,,,,,,,,7,-14,-3,,,,,,,,,,
,-314,,,,,,,,,,-14,5,-7,,,,,,,,,,
,614,-1,,,,,,,,,1,6,5,,,,,,,,,,
,-462,1,,,,,,,,,1,,11,,,,,,,,,,
,510,-34,,,,,,,,,2,,-17,,,,,,,,,,
,-391,1,,,,,,,,,-13,8,17,,,,,,,,,,
,895,,,,,,,,,,-1,3,-3,,,,,,,,,,
,-768,7,,,,,,,,,10,-10,-9,,,,,,,,,,
,172,-21,,,,,,,,,-9,-8,13,,,,,,,,,,
,379,,,,,,,,,,1,7,-3,,,,,,,,,,
,-411,14,,,,,,,,,2,7,-12,,,,,,,,,,
,-448,-11,,,,,,,,,8,-17,11,,,,,,,,,,
,1601,11,,,,,,,,,-2,-6,-1,,,,,,,,,,
,-1599,-31,,,,,,,,,-5,12,-7,,,,,,,,,,
,6932,22,,,,,,,,,-7,-2,2,,,,,,,,,,
,-2897,-4,,,,,,,,,-1,-14,2,,,,,,,,,,
,-3392,-18,,,,,,,,,3,10,,,,,,,,,,,
,-281,3,,,,,,,,,,15,-4,,,,,,,,,,
,983,-16,,,,,,,,,4,-10,,,,,,,,,,,
,-1215,17,,,,,,,,,5,-3,-4,,,,,,,,,,
,2081,-5,,,,,,,,,-14,,6,,,,,,,,,,
,-1636,-12,,,,,,,,,-2,-14,,,,,,,,,,,
