Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-1245,-3,4,-3,7,-4,-11,-10,-1,-21,-6,8,5,8,5,-2,-8,-11,,,,,
,495,-12,-16,-5,-5,-10,5,3,-5,5,-7,11,-3,-16,-13,2,6,8,,,,,
,69,-19,2,-2,5,10,12,13,2,3,-5,6,-1,,8,-3,7,2,,,,,
,204,-1,16,-3,8,-4,-4,-2,3,-3,11,-12,-1,21,1,13,-9,-15,,,,,
,-71,19,2,11,-12,-5,-1,,-5,-3,-2,,1,-3,-1,-5,1,8,,,,,
,-277,1,-7,7,3,6,,4,,4,-6,-5,-3,-2,5,-20,8,9,,,,,
,-287,1,5,4,7,,8,7,-1,-3,-6,-4,-4,-12,-8,1,-8,-3,,,,,
,476,-1,-7,-9,-3,-14,,-10,8,-3,10,7,3,9,15,16,-1,6,,,,,
,5994,-32,2,-3,4,9,-3,2,7,4,10,3,-9,-3,-4,-7,4,-6,,,,,
,-3503,5,8,7,-9,5,-2,6,-2,12,,-5,2,-3,-12,-8,10,-3,,,,,
,1337,25,-3,-7,-5,-11,-8,-7,-3,-10,8,3,1,-11,5,10,-5,-16,,,,,
,-2764,-19,-6,-12,-3,6,11,1,-12,4,-8,1,-4,15,22,-2,-7,15,,,,,
,-1528,-2,4,15,-9,-6,11,6,4,6,-12,5,3,7,2,,10,5,,,,,
,1441,1,4,10,9,5,-10,-1,3,-10,5,-19,9,-9,-24,4,10,-12,,,,,
,-843,16,6,-8,16,9,-7,2,5,-8,-1,9,9,12,,3,-8,-8,,,,,
,-239,-28,-11,,-2,-1,-4,-12,6,3,7,10,-8,-2,1,-3,-9,16,,,,,
,479,13,-10,-2,-6,-7,-5,-8,-13,,-6,-4,5,-5,-11,-3,-9,15,,,,,
,941,-3,15,5,-8,2,11,13,-5,4,5,-3,-6,,12,-5,8,-8,,,,,
,-2018,3,1,-8,2,-1,4,1,11,-11,-11,3,-13,-5,3,-9,-9,-7,,,,,
,4288,-7,1,-4,-2,-11,4,-14,-11,6,8,-2,4,4,7,18,2,-13,,,,,
,-3730,-11,-4,1,4,7,5,6,-6,14,,-5,7,1,,-4,7,9,,,,,
,1833,12,-3,1,11,14,1,2,16,12,5,11,-4,-11,-6,-3,-3,7,,,,,
