Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Cz (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,358,-4,,,,,,,,6,,,,,,,,-5,,,,,
,-966,-18,,,,,,,,-11,,,,,,,,-2,,,,,
,558,4,,,,,,,,15,,,,,,,,-9,,,,,
,1644,9,,,,,,,,-2,,,,,,,,2,,,,,
,-2326,,,,,,,,,-9,,,,,,,,10,,,,,
,207,-9,,,,,,,,7,,,,,,,,-1,,,,,
,395,8,,,,,,,,-13,,,,,,,,-10,,,,,
,163,-30,,,,,,,,3,,,,,,,,12,,,,,
,787,1,,,,,,,,9,,,,,,,,-2,,,,,
,-767,,,,,,,,,,,,,,,,,-8,,,,,
,393,-1,,,,,,,,3,,,,,,,,,,,,,
,-61,-10,,,,,,,,-2,,,,,,,,6,,,,,
,5751,11,,,,,,,,-8,,,,,,,,10,,,,,
,-2854,-1,,,,,,,,1,,,,,,,,-14,,,,,
,-3546,36,,,,,,,,11,,,,,,,,6,,,,,
,437,-45,,,,,,,,-9,,,,,,,,4,,,,,
,-469,-20,,,,,,,,-10,,,,,,,,8,,,,,
,-214,-1,,,,,,,,-2,,,,,,,,-8,,,,,
,181,1,,,,,,,,9,,,,,,,,-1,,,,,
,522,21,,,,,,,,11,,,,,,,,-5,,,,,
,-856,-21,,,,,,,,13,,,,,,,,-3,,,,,
,1649,-12,,,,,,,,-19,,,,,,,,5,,,,,
,-1198,1,,,,,,,,4,,,,,,,,-12,,,,,
,2243,11,,,,,,,,14,,,,,,,,4,,,,,
,-1977,5,,,,,,,,-20,,,,,,,,6,,,,,
,-288,-5,,,,,,,,4,,,,,,,,11,,,,,
,-317,-29,,,,,,,,1,,,,,,,,,,,,,
