Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Cz (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-243,-12,,,,,,,,-15,,,,,,,,-6,,,,,
,186,,,,,,,,,7,,,,,,,,4,,,,,
,5006,9,,,,,,,,2,,,,,,,,-3,,,,,
,-3506,,,,,,,,,-11,,,,,,,,-5,,,,,
,773,-27,,,,,,,,7,,,,,,,,8,,,,,
,-2305,-4,,,,,,,,-10,,,,,,,,,,,,,
,932,3,,,,,,,,8,,,,,,,,-8,,,,,
,-325,20,,,,,,,,-1,,,,,,,,5,,,,,
,-712,-18,,,,,,,,-7,,,,,,,,2,,,,,
,564,-12,,,,,,,,14,,,,,,,,2,,,,,
,93,12,,,,,,,,3,,,,,,,,3,,,,,
,-319,-1,,,,,,,,-12,,,,,,,,1,,,,,
,-482,-11,,,,,,,,-3,,,,,,,,-6,,,,,
,1401,,,,,,,,,4,,,,,,,,-5,,,,,
,13,-21,,,,,,,,-6,,,,,,,,8,,,,,
,-85,18,,,,,,,,5,,,,,,,,-13,,,,,
,-793,-17,,,,,,,,6,,,,,,,,15,,,,,
,94,-1,,,,,,,,-7,,,,,,,,-5,,,,,
,736,-12,,,,,,,,6,,,,,,,,-4,,,,,
,1744,2,,,,,,,,10,,,,,,,,2,,,,,
,-211,11,,,,,,,,-3,,,,,,,,2,,,,,
,-2555,-2,,,,,,,,-3,,,,,,,,3,,,,,
,1250,3,,,,,,,,6,,,,,,,,-7,,,,,
,-63,-3,,,,,,,,-1,,,,,,,,7,,,,,
,-1002,-30,,,,,,,,-2,,,,,,,,-4,,,,,
,668,1,,,,,,,,2,,,,,,,,,,,,,
,295,19,,,,,,,,-14,,,,,,,,-3,,,,,
,-387,-19,,,,,,,,5,,,,,,,,-3,,,,,
,-643,-11,,,,,,,,4,,,,,,,,,,,,,
,819,11,,,,,,,,2,,,,,,,,8,,,,,
,226,,,,,,,,,-2,,,,,,,,-5,,,,,
,-623,-11,,,,,,,,-9,,,,,,,,4,,,,,
,-275,1,,,,,,,,7,,,,,,,,-6,,,,,
,703,-22,,,,,,,,10,,,,,,,,-3,,,,,
,-510,22,,,,,,,,15,,,,,,,,12,,,,,
,201,,,,,,,,,-7,,,,,,,,-2,,,,,
,-187,-19,,,,,,,,-23,,,,,,,,-5,,,,,
,2521,-2,,,,,,,,2,,,,,,,,14,,,,,
,-2745,-10,,,,,,,,-8,,,,,,,,-10,,,,,
,-466,,,,,,,,,14,,,,,,,,2,,,,,
,709,27,,,,,,,,6,,,,,,,,5,,,,,
,1665,-29,,,,,,,,-5,,,,,,,,-12,,,,,
,-1508,-18,,,,,,,,9,,,,,,,,1,,,,,
,-540,18,,,,,,,,-10,,,,,,,,8,,,,,
,270,1,,,,,,,,-1,,,,,,,,2,,,,,
,282,-32,,,,,,,,1,,,,,,,,-9,,,,,
,1091,,,,,,,,,-12,,,,,,,,-2,,,,,
,-1370,13,,,,,,,,18,,,,,,,,8,,,,,
,-146,-12,,,,,,,,-3,,,,,,,,,,,,,
,260,,,,,,,,,4,,,,,,,,1,,,,,
,-293,1,,,,,,,,-22,,,,,,,,-8,,,,,
,-250,-1,,,,,,,,2,,,,,,,,-2,,,,,
,1059,1,,,,,,,,13,,,,,,,,-6,,,,,
,2579,,,,,,,,,1,,,,,,,,3,,,,,
,-3495,-10,,,,,,,,-6,,,,,,,,3,,,,,
,139,-21,,,,,,,,5,,,,,,,,10,,,,,
,-48,-3,,,,,,,,-6,,,,,,,,-4,,,,,
,159,4,,,,,,,,1,,,,,,,,15,,,,,
,-461,10,,,,,,,,-5,,,,,,,,-14,,,,,
,-190,,,,,,,,,8,,,,,,,,3,,,,,
,731,17,,,,,,,,-5,,,,,,,,-4,,,,,
,881,-49,,,,,,,,-2,,,,,,,,5,,,,,
,-1215,19,,,,,,,,6,,,,,,,,3,,,,,
,-526,-18,,,,,,,,-18,,,,,,,,-7,,,,,
,948,19,,,,,,,,3,,,,,,,,-1,,,,,
,178,-19,,,,,,,,14,,,,,,,,6,,,,,
,947,-10,,,,,,,,1,,,,,,,,2,,,,,
,-1883,12,,,,,,,,13,,,,,,,,-10,,,,,
,355,-12,,,,,,,,-8,,,,,,,,-3,,,,,
,-191,,,,,,,,,-8,,,,,,,,5,,,,,
,174,9,,,,,,,,-7,,,,,,,,-4,,,,,
,51,-30,,,,,,,,8,,,,,,,,2,,,,,
,347,21,,,,,,,,-3,,,,,,,,12,,,,,
,-328,-20,,,,,,,,-6,,,,,,,,-4,,,,,
,2382,-11,,,,,,,,-1,,,,,,,,-10,,,,,
,-2968,13,,,,,,,,,,,,,,,,4,,,,,
,-362,-2,,,,,,,,2,,,,,,,,-2,,,,,
,1742,-11,,,,,,,,5,,,,,,,,4,,,,,
,-1384,,,,,,,,,-10,,,,,,,,-1,,,,,
,168,,,,,,,,,-8,,,,,,,,-9,,,,,
,2238,,,,,,,,,11,,,,,,,,8,,,,,
,-1978,6,,,,,,,,6,,,,,,,,5,,,,,
,934,-6,,,,,,,,8,,,,,,,,-4,,,,,
,-1444,-3,,,,,,,,-9,,,,,,,,4,,,,,
,682,-30,,,,,,,,-6,,,,,,,,-17,,,,,
,-1188,1,,,,,,,,9,,,,,,,,5,,,,,
,1548,2,,,,,,,,11,,,,,,,,2,,,,,
,-1002,,,,,,,,,-3,,,,,,,,5,,,,,
,1262,-1,,,,,,,,-6,,,,,,,,-10,,,,,
,-555,1,,,,,,,,-13,,,,,,,,3,,,,,
,114,-8,,,,,,,,2,,,,,,,,-2,,,,,
,-168,8,,,,,,,,1,,,,,,,,-5,,,,,
,-4,-2,,,,,,,,5,,,,,,,,5,,,,,
,-281,-20,,,,,,,,15,,,,,,,,-1,,,,,
,-214,2,,,,,,,,9,,,,,,,,3,,,,,
,-114,-11,,,,,,,,-6,,,,,,,,-6,,,,,
,2539,10,,,,,,,,-13,,,,,,,,13,,,,,
,-2653,6,,,,,,,,5,,,,,,,,3,,,,,
,483,-11,,,,,,,,-6,,,,,,,,2,,,,,
,405,2,,,,,,,,-3,,,,,,,,-4,,,,,
,-391,-7,,,,,,,,-16,,,,,,,,1,,,,,
,241,-26,,,,,,,,1,,,,,,,,,,,,,
,-340,13,,,,,,,,33,,,,,,,,-1,,,,,
,-129,10,,,,,,,,,,,,,,,,-7,,,,,
,298,3,,,,,,,,-15,,,,,,,,-1,,,,,
,2698,-30,,,,,,,,-13,,,,,,,,5,,,,,
,-3144,1,,,,,,,,13,,,,,,,,10,,,,,
,2923,,,,,,,,,8,,,,,,,,2,,,,,
,-2501,15,,,,,,,,-5,,,,,,,,-3,,,,,
,-280,-16,,,,,,,,-8,,,,,,,,-9,,,,,
,349,1,,,,,,,,6,,,,,,,,3,,,,,
,-253,,,,,,,,,8,,,,,,,,-7,,,,,
,399,-31,,,,,,,,2,,,,,,,,-1,,,,,
,-590,22,,,,,,,,-23,,,,,,,,2,,,,,
,-84,,,,,,,,,17,,,,,,,,6,,,,,
,499,-14,,,,,,,,-5,,,,,,,,-1,,,,,
,-482,-5,,,,,,,,6,,,,,,,,-16,,,,,
,1,3,,,,,,,,2,,,,,,,,4,,,,,
,-132,-22,,,,,,,,-3,,,,,,,,13,,,,,
,245,,,,,,,,,-4,,,,,,,,-3,,,,,
,-337,-1,,,,,,,,-10,,,,,,,,2,,,,,
,1091,2,,,,,,,,19,,,,,,,,-8,,,,,
,-106,-10,,,,,,,,-9,,,,,,,,,,,,,
,501,15,,,,,,,,-13,,,,,,,,6,,,,,
,-820,-4,,,,,,,,-5,,,,,,,,-3,,,,,
,-184,-12,,,,,,,,-3,,,,,,,,-4,,,,,
,-56,-19,,,,,,,,19,,,,,,,,-2,,,,,
,-211,-3,,,,,,,,1,,,,,,,,14,,,,,
,857,18,,,,,,,,2,,,,,,,,6,,,,,
,-670,-10,,,,,,,,1,,,,,,,,-8,,,,,
,-148,,,,,,,,,-8,,,,,,,,,,,,,
,165,-5,,,,,,,,3,,,,,,,,-10,,,,,
,493,-15,,,,,,,,2,,,,,,,,2,,,,,
,-773,15,,,,,,,,-5,,,,,,,,2,,,,,
,715,-12,,,,,,,,1,,,,,,,,5,,,,,
,-975,,,,,,,,,8,,,,,,,,11,,,,,
,974,-21,,,,,,,,9,,,,,,,,-1,,,,,
,144,1,,,,,,,,-13,,,,,,,,-9,,,,,
,-636,,,,,,,,,-8,,,,,,,,-2,,,,,
,647,-11,,,,,,,,8,,,,,,,,7,,,,,
,-476,15,,,,,,,,1,,,,,,,,,,,,,
,325,-5,,,,,,,,,,,,,,,,-7,,,,,
,-707,7,,,,,,,,-1,,,,,,,,-2,,,,,
,710,-33,,,,,,,,5,,,,,,,,-2,,,,,
,616,27,,,,,,,,-8,,,,,,,,-3,,,,,
,-1377,-32,,,,,,,,-2,,,,,,,,11,,,,,
,38,,,,,,,,,5,,,,,,,,-13,,,,,
,291,22,,,,,,,,5,,,,,,,,1,,,,,
,-118,-19,,,,,,,,-17,,,,,,,,-4,,,,,
,-379,,,,,,,,,-5,,,,,,,,13,,,,,
,146,-1,,,,,,,,12,,,,,,,,-8,,,,,
,881,,,,,,,,,12,,,,,,,,5,,,,,
,-175,,,,,,,,,-11,,,,,,,,9,,,,,
,-442,,,,,,,,,2,,,,,,,,-10,,,,,
,-125,-16,,,,,,,,-5,,,,,,,,-6,,,,,
,748,,,,,,,,,5,,,,,,,,1,,,,,
,1930,17,,,,,,,,7,,,,,,,,9,,,,,
,-2410,16,,,,,,,,-7,,,,,,,,7,,,,,
,73,-24,,,,,,,,9,,,,,,,,1,,,,,
,88,-9,,,,,,,,-7,,,,,,,,-12,,,,,
,43,,,,,,,,,-10,,,,,,,,2,,,,,
,-6,,,,,,,,,,,,,,,,,-4,,,,,
,-571,-2,,,,,,,,24,,,,,,,,4,,,,,
,1009,-33,,,,,,,,-14,,,,,,,,2,,,,,
,-735,-8,,,,,,,,,,,,,,,,-4,,,,,
,2481,18,,,,,,,,3,,,,,,,,8,,,,,
,-2609,17,,,,,,,,5,,,,,,,,-3,,,,,
,-83,-35,,,,,,,,-11,,,,,,,,2,,,,,
,-667,2,,,,,,,,-6,,,,,,,,-5,,,,,
,-11,-5,,,,,,,,9,,,,,,,,-7,,,,,
,1045,1,,,,,,,,8,,,,,,,,4,,,,,
,128,-15,,,,,,,,2,,,,,,,,8,,,,,
,-385,17,,,,,,,,-7,,,,,,,,2,,,,,
,2244,-3,,,,,,,,-16,,,,,,,,-20,,,,,
,-2079,-20,,,,,,,,6,,,,,,,,10,,,,,
,-35,-12,,,,,,,,-5,,,,,,,,7,,,,,
,1137,3,,,,,,,,-5,,,,,,,,9,,,,,
,-1138,3,,,,,,,,15,,,,,,,,-1,,,,,
,-282,-18,,,,,,,,,,,,,,,,-17,,,,,
,-29,3,,,,,,,,-9,,,,,,,,,,,,,
,228,11,,,,,,,,-7,,,,,,,,-4,,,,,
,-274,2,,,,,,,,21,,,,,,,,6,,,,,
,-29,-2,,,,,,,,5,,,,,,,,8,,,,,
,1,-31,,,,,,,,,,,,,,,,-7,,,,,
,449,20,,,,,,,,-9,,,,,,,,7,,,,,
,-138,-22,,,,,,,,10,,,,,,,,-2,,,,,
,-284,-1,,,,,,,,-6,,,,,,,,1,,,,,
,3875,2,,,,,,,,-12,,,,,,,,-3,,,,,
,-3002,17,,,,,,,,-2,,,,,,,,11,,,,,
,-562,-18,,,,,,,,23,,,,,,,,-12,,,,,
,1241,5,,,,,,,,-8,,,,,,,,-4,,,,,
,-949,-4,,,,,,,,-6,,,,,,,,10,,,,,
,160,-7,,,,,,,,2,,,,,,,,-1,,,,,
,82,1,,,,,,,,4,,,,,,,,,,,,,
,-815,-12,,,,,,,,2,,,,,,,,-11,,,,,
,131,12,,,,,,,,-5,,,,,,,,-4,,,,,
,713,,,,,,,,,1,,,,,,,,-3,,,,,
,-620,5,,,,,,,,8,,,,,,,,13,,,,,
,1324,-12,,,,,,,,-5,,,,,,,,10,,,,,
,-574,2,,,,,,,,-7,,,,,,,,-2,,,,,
,-909,10,,,,,,,,-5,,,,,,,,-7,,,,,
,10,-24,,,,,,,,11,,,,,,,,-3,,,,,
,-594,-5,,,,,,,,-4,,,,,,,,5,,,,,
,1039,,,,,,,,,-7,,,,,,,,,,,,,
,-730,1,,,,,,,,6,,,,,,,,-8,,,,,
,69,,,,,,,,,-14,,,,,,,,11,,,,,
,230,,,,,,,,,11,,,,,,,,6,,,,,
,4038,,,,,,,,,7,,,,,,,,-9,,,,,
,-3484,-1,,,,,,,,-6,,,,,,,,-13,,,,,
,-763,-32,,,,,,,,-9,,,,,,,,,,,,,
,2686,33,,,,,,,,,,,,,,,,7,,,,,
,-2625,,,,,,,,,10,,,,,,,,10,,,,,
,217,,,,,,,,,7,,,,,,,,-9,,,,,
,-75,-44,,,,,,,,-5,,,,,,,,9,,,,,
,707,18,,,,,,,,5,,,,,,,,-3,,,,,
,746,-17,,,,,,,,6,,,,,,,,-3,,,,,
,-1065,17,,,,,,,,6,,,,,,,,6,,,,,
,-164,-21,,,,,,,,-14,,,,,,,,-9,,,,,
,3726,14,,,,,,,,-12,,,,,,,,4,,,,,
,-3329,-27,,,,,,,,2,,,,,,,,-8,,,,,
,-823,13,,,,,,,,4,,,,,,,,8,,,,,
,1582,,,,,,,,,13,,,,,,,,2,,,,,
,-1256,,,,,,,,,-15,,,,,,,,-4,,,,,
,1386,-17,,,,,,,,10,,,,,,,,9,,,,,
,634,-13,,,,,,,,3,,,,,,,,-7,,,,,
,-1508,3,,,,,,,,-18,,,,,,,,6,,,,,
,-456,-3,,,,,,,,2,,,,,,,,-3,,,,,
,1197,13,,,,,,,,9,,,,,,,,2,,,,,
,-1793,-31,,,,,,,,-2,,,,,,,,-6,,,,,
,1019,,,,,,,,,5,,,,,,,,-4,,,,,
,-273,18,,,,,,,,1,,,,,,,,4,,,,,
,-564,-18,,,,,,,,8,,,,,,,,6,,,,,
,-273,-1,,,,,,,,-9,,,,,,,,3,,,,,
,1149,1,,,,,,,,-9,,,,,,,,,,,,,
,-590,-1,,,,,,,,15,,,,,,,,-9,,,,,
,238,-12,,,,,,,,-7,,,,,,,,-2,,,,,
,-232,,,,,,,,,-2,,,,,,,,-5,,,,,
,163,13,,,,,,,,4,,,,,,,,-5,,,,,
,13,-30,,,,,,,,-4,,,,,,,,,,,,,
,-124,-4,,,,,,,,-3,,,,,,,,12,,,,,
,18,24,,,,,,,,5,,,,,,,,4,,,,,
,141,-16,,,,,,,,16,,,,,,,,-5,,,,,
,-916,-13,,,,,,,,-18,,,,,,,,5,,,,,
,1913,9,,,,,,,,-5,,,,,,,,6,,,,,
,-1136,-11,,,,,,,,-8,,,,,,,,-6,,,,,
,-28,3,,,,,,,,20,,,,,,,,3,,,,,
,204,-2,,,,,,,,10,,,,,,,,-2,,,,,
,219,-19,,,,,,,,-10,,,,,,,,-7,,,,,
,-826,4,,,,,,,,1,,,,,,,,-3,,,,,
,-122,,,,,,,,,-12,,,,,,,,6,,,,,
,1212,15,,,,,,,,-2,,,,,,,,5,,,,,
,29,-30,,,,,,,,6,,,,,,,,-15,,,,,
,-694,16,,,,,,,,-8,,,,,,,,-12,,,,,
,,-6,,,,,,,,-2,,,,,,,,2,,,,,
,256,1,,,,,,,,13,,,,,,,,3,,,,,
,-615,-1,,,,,,,,2,,,,,,,,14,,,,,
,1484,1,,,,,,,,-12,,,,,,,,-7,,,,,
,-1949,-33,,,,,,,,13,,,,,,,,8,,,,,
,6649,,,,,,,,,-9,,,,,,,,4,,,,,
,-1554,7,,,,,,,,-3,,,,,,,,-6,,,,,
,-1894,17,,,,,,,,15,,,,,,,,5,,,,,
,-2811,-37,,,,,,,,-6,,,,,,,,-1,,,,,
,902,29,,,,,,,,8,,,,,,,,-2,,,,,
,577,-12,,,,,,,,-6,,,,,,,,10,,,,,
,-636,-13,,,,,,,,-5,,,,,,,,-4,,,,,
,-96,26,,,,,,,,-3,,,,,,,,-8,,,,,
,-243,-26,,,,,,,,2,,,,,,,,-2,,,,,
,-62,-24,,,,,,,,3,,,,,,,,4,,,,,
,-333,2,,,,,,,,-3,,,,,,,,7,,,,,
,1338,4,,,,,,,,-4,,,,,,,,1,,,,,
,-173,-4,,,,,,,,3,,,,,,,,-11,,,,,
,-1271,,,,,,,,,1,,,,,,,,-4,,,,,
,-12,,,,,,,,,,,,,,,,,-5,,,,,
,197,,,,,,,,,-10,,,,,,,,12,,,,,
,703,4,,,,,,,,4,,,,,,,,13,,,,,
,-163,-4,,,,,,,,3,,,,,,,,-14,,,,,
,2088,-13,,,,,,,,15,,,,,,,,-11,,,,,
,-2605,-22,,,,,,,,-12,,,,,,,,7,,,,,
,-114,5,,,,,,,,-1,,,,,,,,2,,,,,
,304,-13,,,,,,,,-9,,,,,,,,14,,,,,
,-156,,,,,,,,,-4,,,,,,,,-6,,,,,
,-16,,,,,,,,,10,,,,,,,,-9,,,,,
,-104,13,,,,,,,,-1,,,,,,,,1,,,,,
,219,-13,,,,,,,,-3,,,,,,,,-3,,,,,
,241,3,,,,,,,,-9,,,,,,,,8,,,,,
,-431,-3,,,,,,,,,,,,,,,,,,,,,
,-44,-22,,,,,,,,10,,,,,,,,-4,,,,,
,-142,25,,,,,,,,-6,,,,,,,,4,,,,,
,712,-16,,,,,,,,-2,,,,,,,,1,,,,,
,72,,,,,,,,,17,,,,,,,,,,,,,
,-481,-5,,,,,,,,3,,,,,,,,3,,,,,
,122,,,,,,,,,10,,,,,,,,-2,,,,,
,-569,,,,,,,,,-4,,,,,,,,-2,,,,,
,1691,-10,,,,,,,,-13,,,,,,,,5,,,,,
,-1452,-44,,,,,,,,3,,,,,,,,6,,,,,
,1673,,,,,,,,,-1,,,,,,,,-14,,,,,
,-1632,,,,,,,,,1,,,,,,,,1,,,,,
,336,2,,,,,,,,-1,,,,,,,,4,,,,,
,-827,23,,,,,,,,-9,,,,,,,,-1,,,,,
,1965,-35,,,,,,,,7,,,,,,,,7,,,,,
,-929,,,,,,,,,-10,,,,,,,,-3,,,,,
,2015,9,,,,,,,,-4,,,,,,,,1,,,,,
,-2817,2,,,,,,,,2,,,,,,,,-7,,,,,
,-374,-30,,,,,,,,13,,,,,,,,-4,,,,,
,761,-3,,,,,,,,11,,,,,,,,5,,,,,
,-279,2,,,,,,,,-16,,,,,,,,-4,,,,,
,-183,18,,,,,,,,-8,,,,,,,,-2,,,,,
,1242,-16,,,,,,,,4,,,,,,,,-1,,,,,
,-848,3,,,,,,,,15,,,,,,,,13,,,,,
,476,-4,,,,,,,,5,,,,,,,,9,,,,,
,-499,-2,,,,,,,,-5,,,,,,,,-9,,,,,
,-3,-10,,,,,,,,7,,,,,,,,2,,,,,
,456,10,,,,,,,,-14,,,,,,,,-2,,,,,
,-951,-11,,,,,,,,-10,,,,,,,,-10,,,,,
,513,2,,,,,,,,14,,,,,,,,,,,,,
,-281,,,,,,,,,16,,,,,,,,,,,,,
,544,-32,,,,,,,,-5,,,,,,,,4,,,,,
,-432,12,,,,,,,,-5,,,,,,,,,,,,,
,-134,2,,,,,,,,,,,,,,,,1,,,,,
,313,-14,,,,,,,,-14,,,,,,,,12,,,,,
,105,1,,,,,,,,7,,,,,,,,-12,,,,,
,-202,,,,,,,,,-6,,,,,,,,-5,,,,,
,1041,,,,,,,,,5,,,,,,,,-4,,,,,
,-906,,,,,,,,,-12,,,,,,,,-6,,,,,
,-97,-20,,,,,,,,5,,,,,,,,8,,,,,
,-58,-11,,,,,,,,14,,,,,,,,7,,,,,
,812,-3,,,,,,,,-2,,,,,,,,2,,,,,
,-565,5,,,,,,,,-2,,,,,,,,2,,,,,
,189,-3,,,,,,,,-3,,,,,,,,-2,,,,,
,-692,13,,,,,,,,5,,,,,,,,4,,,,,
,357,-1,,,,,,,,1,,,,,,,,-1,,,,,
,-423,-11,,,,,,,,5,,,,,,,,-3,,,,,
,281,-22,,,,,,,,1,,,,,,,,-2,,,,,
,-307,22,,,,,,,,-1,,,,,,,,4,,,,,
,44,-20,,,,,,,,-17,,,,,,,,3,,,,,
,479,-12,,,,,,,,-3,,,,,,,,-15,,,,,
,38,1,,,,,,,,15,,,,,,,,-5,,,,,
,-401,11,,,,,,,,-8,,,,,,,,10,,,,,
,114,-12,,,,,,,,-6,,,,,,,,3,,,,,
,292,13,,,,,,,,1,,,,,,,,-1,,,,,
,-409,-12,,,,,,,,3,,,,,,,,-9,,,,,
,239,-4,,,,,,,,,,,,,,,,3,,,,,
,3124,4,,,,,,,,-9,,,,,,,,9,,,,,
,-3243,-18,,,,,,,,26,,,,,,,,-2,,,,,
,636,-13,,,,,,,,-24,,,,,,,,-10,,,,,
,-904,,,,,,,,,2,,,,,,,,4,,,,,
,2968,1,,,,,,,,1,,,,,,,,3,,,,,
,-1976,,,,,,,,,9,,,,,,,,8,,,,,
,-580,,,,,,,,,-3,,,,,,,,-3,,,,,
,541,9,,,,,,,,-8,,,,,,,,3,,,,,
,3277,-9,,,,,,,,8,,,,,,,,-7,,,,,
,-3690,-1,,,,,,,,13,,,,,,,,,,,,,
,37,-20,,,,,,,,-6,,,,,,,,-5,,,,,
,340,-12,,,,,,,,-14,,,,,,,,12,,,,,
,-1081,2,,,,,,,,-5,,,,,,,,-9,,,,,
,858,11,,,,,,,,21,,,,,,,,-2,,,,,
,103,-11,,,,,,,,-1,,,,,,,,-3,,,,,
,-445,11,,,,,,,,-8,,,,,,,,-4,,,,,
,423,,,,,,,,,-10,,,,,,,,7,,,,,
,-276,-32,,,,,,,,18,,,,,,,,-10,,,,,
,416,3,,,,,,,,4,,,,,,,,,,,,,
,3013,19,,,,,,,,-10,,,,,,,,15,,,,,
,-3628,-14,,,,,,,,-17,,,,,,,,5,,,,,
,3779,-17,,,,,,,,6,,,,,,,,-14,,,,,
,-3367,,,,,,,,,11,,,,,,,,3,,,,,
,131,-1,,,,,,,,6,,,,,,,,20,,,,,
,-330,11,,,,,,,,6,,,,,,,,-3,,,,,
,206,1,,,,,,,,-24,,,,,,,,-8,,,,,
,117,-31,,,,,,,,-1,,,,,,,,-9,,,,,
,-771,-1,,,,,,,,14,,,,,,,,9,,,,,
,923,,,,,,,,,7,,,,,,,,-7,,,,,
,-1059,17,,,,,,,,-7,,,,,,,,-3,,,,,
,986,-29,,,,,,,,,,,,,,,,2,,,,,
,-801,2,,,,,,,,2,,,,,,,,1,,,,,
,-84,,,,,,,,,-10,,,,,,,,10,,,,,
,3077,-1,,,,,,,,2,,,,,,,,4,,,,,
,-3167,12,,,,,,,,3,,,,,,,,-12,,,,,
,273,-11,,,,,,,,15,,,,,,,,-4,,,,,
,1299,-22,,,,,,,,-2,,,,,,,,10,,,,,
,-1441,2,,,,,,,,-8,,,,,,,,-8,,,,,
,309,,,,,,,,,-8,,,,,,,,7,,,,,
,-344,-1,,,,,,,,17,,,,,,,,-1,,,,,
,791,-10,,,,,,,,-4,,,,,,,,-10,,,,,
,137,1,,,,,,,,-9,,,,,,,,14,,,,,
,-732,-1,,,,,,,,-4,,,,,,,,-3,,,,,
,-344,,,,,,,,,3,,,,,,,,-8,,,,,
,589,2,,,,,,,,3,,,,,,,,-2,,,,,
,-724,-23,,,,,,,,-6,,,,,,,,-4,,,,,
,588,22,,,,,,,,3,,,,,,,,6,,,,,
,-491,-21,,,,,,,,-3,,,,,,,,5,,,,,
,-5,-14,,,,,,,,3,,,,,,,,-2,,,,,
,733,23,,,,,,,,5,,,,,,,,10,,,,,
,-455,-21,,,,,,,,8,,,,,,,,-13,,,,,
,552,20,,,,,,,,-10,,,,,,,,-5,,,,,
,-756,-6,,,,,,,,-5,,,,,,,,11,,,,,
,815,-13,,,,,,,,7,,,,,,,,3,,,,,
,-590,-1,,,,,,,,9,,,,,,,,-3,,,,,
,-402,-20,,,,,,,,-7,,,,,,,,-4,,,,,
,1195,22,,,,,,,,1,,,,,,,,2,,,,,
,-745,-2,,,,,,,,2,,,,,,,,9,,,,,
,114,-31,,,,,,,,5,,,,,,,,-11,,,,,
,101,12,,,,,,,,-15,,,,,,,,,,,,,
,-112,-10,,,,,,,,6,,,,,,,,-6,,,,,
,-362,,,,,,,,,-6,,,,,,,,9,,,,,
,-210,,,,,,,,,6,,,,,,,,8,,,,,
,114,,,,,,,,,-4,,,,,,,,-4,,,,,
,-348,,,,,,,,,9,,,,,,,,-4,,,,,
,879,4,,,,,,,,-14,,,,,,,,-10,,,,,
,-55,-29,,,,,,,,3,,,,,,,,1,,,,,
,-356,15,,,,,,,,12,,,,,,,,7,,,,,
,251,-2,,,,,,,,-10,,,,,,,,8,,,,,
,-339,11,,,,,,,,-4,,,,,,,,8,,,,,
,4428,1,,,,,,,,8,,,,,,,,-17,,,,,
,-3280,-33,,,,,,,,-4,,,,,,,,-13,,,,,
,-738,3,,,,,,,,-15,,,,,,,,19,,,,,
,459,19,,,,,,,,28,,,,,,,,-3,,,,,
,-917,-23,,,,,,,,,,,,,,,,-7,,,,,
,11,-20,,,,,,,,-17,,,,,,,,1,,,,,
,407,-3,,,,,,,,-7,,,,,,,,-1,,,,,
,39,27,,,,,,,,19,,,,,,,,-3,,,,,
,-153,1,,,,,,,,4,,,,,,,,3,,,,,
,-82,-27,,,,,,,,-4,,,,,,,,-2,,,,,
,366,26,,,,,,,,-23,,,,,,,,,,,,,
,-609,-41,,,,,,,,13,,,,,,,,13,,,,,
,-369,-4,,,,,,,,-10,,,,,,,,-1,,,,,
,-370,-1,,,,,,,,8,,,,,,,,-4,,,,,
,184,,,,,,,,,12,,,,,,,,-5,,,,,
,798,,,,,,,,,-10,,,,,,,,9,,,,,
,263,1,,,,,,,,-10,,,,,,,,-9,,,,,
,1900,-11,,,,,,,,8,,,,,,,,-8,,,,,
,-2031,6,,,,,,,,9,,,,,,,,4,,,,,
,81,4,,,,,,,,-10,,,,,,,,26,,,,,
,-726,-28,,,,,,,,8,,,,,,,,-8,,,,,
,2448,15,,,,,,,,-11,,,,,,,,-10,,,,,
,-2372,-18,,,,,,,,-18,,,,,,,,-2,,,,,
,338,-10,,,,,,,,22,,,,,,,,5,,,,,
,201,9,,,,,,,,12,,,,,,,,-5,,,,,
,-32,-14,,,,,,,,-3,,,,,,,,6,,,,,
,-261,15,,,,,,,,-14,,,,,,,,1,,,,,
,601,,,,,,,,,4,,,,,,,,,,,,,
,-477,-26,,,,,,,,10,,,,,,,,-11,,,,,
,2228,39,,,,,,,,-9,,,,,,,,11,,,,,
,-2452,-26,,,,,,,,7,,,,,,,,12,,,,,
,-223,-16,,,,,,,,-7,,,,,,,,-12,,,,,
,791,-1,,,,,,,,8,,,,,,,,,,,,,
,686,-3,,,,,,,,8,,,,,,,,-2,,,,,
,-1075,-7,,,,,,,,-4,,,,,,,,-9,,,,,
,683,12,,,,,,,,-5,,,,,,,,-4,,,,,
,-1115,-3,,,,,,,,9,,,,,,,,12,,,,,
,476,-1,,,,,,,,-1,,,,,,,,1,,,,,
,318,1,,,,,,,,-3,,,,,,,,-11,,,,,
,290,-10,,,,,,,,9,,,,,,,,5,,,,,
,-128,-21,,,,,,,,-4,,,,,,,,16,,,,,
,-239,23,,,,,,,,-8,,,,,,,,-2,,,,,
,-18,-21,,,,,,,,1,,,,,,,,1,,,,,
,248,-1,,,,,,,,-3,,,,,,,,,,,,,
,-257,1,,,,,,,,6,,,,,,,,-14,,,,,
,-814,6,,,,,,,,4,,,,,,,,-4,,,,,
,1249,-1,,,,,,,,-3,,,,,,,,6,,,,,
,-999,-4,,,,,,,,-9,,,,,,,,1,,,,,
,-17,-18,,,,,,,,-3,,,,,,,,-4,,,,,
